What percentage of Americans believe the Earth is less than 10000 years old?;38%
 By definition only 50% of drivers can be an above average driver. But, what percentage of US drivers believe they are an above average driver?;93%
In which year did Tesco first introduce the automated checkout?;2003
What is the most produced food in the world?;Maize (Corn),ahead of rice and wheat in second and third. Maize is widely used in bread and pasta in the Americas,as animal feed,in ethanol production, and corn syrup is used as a sweetener in fizzy drinks.
In 1974,94% of milk was delivered to the doorstep, What percentage of milk is currently delivered?;4%
True or false, before 1871,British soldiers could buy promotions?; True. This practice was abolished following a series of strategic blunders including The Charge of the Light Brigade in the Crimean War.
What is the fastest ever 100m time recorded by someone aged over 100 years old?;26.99 seconds set by Donald Pellmann.He also holds masters athletics world records in the long jump, high jump, discus, shot put and javelin.
How many liters of vodka does the average Russian drink per year?;14 litres
In which year was the last person in Britain convicted of witchcraft?;1944.A Scottish medium claimed to have predicted the sinking of a Royal Navy ship during WWII, and performed a séance with a drowned sailor, so was arrested for witchcraft.
Prior to 2018,when was the last time that England progressed further than Germany in the FIFA World Cup?;1966
In total over their career, which artist or band has spent the most time at the top of the UK Singles Chart?;Elvis Presley holds the record with 80 weeks at the top of the charts,ahead of the Beatles in second place who have topped the charts for 69 weeks.
At birth the average baby weighs 7.5 pounds. How much does an average baby weigh one week after birth?;6.9 pounds. In the first week babies generally lose 5-10% of their weight as a result of fluid losses.
The tin can was invented in 1772 AD. When was the tin opener invented?;1855 AD
Why do pigs roll in mud?;To regulate body temperature,and provide protection from the sun
In which year was the gun first invented?;1000 AD
German steel and telecoms company Mannesmann,was purchased in 1999 by Vodafone, in the largest ever corporate acquisition, In US Dollars, how much did they pay for the business?;＄202 billion
In US Dollars, how much does the US military spend on Viagra each year?;＄84m. This figure is so high because the US military pays for health coverage for retired veterans,which can include Viagra.
In 1800 AD what was the only city with a population of over one million?;London
What percentage of Americans do not own a passport?;57%. The often quoted figure of 90% is very out of date.
In 1896 Walter Arnold became the first motorist to be convicted of speeding. What speed was he caught traveling at (in miles per hour)?;8 miles per hour, four times the then speed limit of 2 miles per hour.
Which country had the largest economy in 1700 AD?;India. Before the Industrial Revolution the main driver of a country's economy was manpower,meaning India and China had the first and second largest economies in 1700 due to their large populations.
What percentage of football injuries occur during goal celebrations?;5%
How long is the Amazon River in miles?;4,345 miles. Its basin (the area drained by the river and its tributaries) is 29 times larger than the UK.
As of the 1st of January 2019,in total how many nuclear bombs have been detonated globally(including tests)?;2,123,the majority of which were dropped as tests by USA (1,032) and Russia/USSR （727).
In total, how many people were killed in the Cambodian Genocide of 1975-1979?;2.2 million people were killed by Pol Pot's regime, almost a quarter of the entire population.
Of the 15 Rugby League World Cups held, how many have been won by Australia?;11,with Great Britain winning 3 and New Zealand winning 1.
How many websites are available to the public in North Korea?;28
On average how many baked beans are in a standard sized tin of Heinz beans?;465
How many giant pandas are there living in the wild?;There are approximately 1,850
How many miles does an average London black cab drive per day?;120 miles
In the UK, for every one jar of marmalade consumed by an average person aged under 28,how many jars of marmalade does a person aged over 65 consume?;60 jars
Using a non-power shower, on average how long do you need to shower so that it uses more water than a bath?;10 minutes and 20 seconds
By the age of 70,what percentage of US adults have lost all of their teeth?;26%
What is the main source of energy in Iceland?;Geothermal energy accounts for 65% of all energy generation, made possible due to Iceland's location in an area with a large number of volcanoes.
Which country is the largest importer of tea?; Russia, ahead of USA and UK in second and third.
What was remarkable about Herman Cain's speech in the 2011 Republican Presidential Candidacy Debate: A) he ended it with a mic drop, B) he didn't speak a single word, C)he forgot his own name, or D) he quoted The Pokémon Movie theme tune?;D) He quoted the Pokémon Movie theme tune. He initially attributed the phrase to ＇a famous poet', but later backtracked and admitted it was from The Pokémon Movie.
How long does the average person have to run at 10 km/h to burn off one chocolate digestive biscuit?;6 minutes and 20 seconds
For how long has the longest continuous fire been burning?;The underground Australian coal seam called 'Burning Mountain' holds the record, and has been burning for over 6,000 years.
How many holes in one has Tiger Woods achieved in his career?;18
Which country is the largest producer of heroin?;Afghanistan, which is responsible for approximately 90% of total global heroin production.
True or false, the mayor of San Pedro Huamelula, a town in Mexico, married a crocodile in order to bring his town good luck?; True, he marries a crocodile every year.
In what percentage of married couples is the wife taller than the husband?;4%
If you could stand in the centre of the Earth's core, what would be the impact of Earth's gravity?;The Earth's gravity would pull you in all directions at the same strength, which would cancel out and you would feel weightless.
In which country are the population least proud of their country?;Japan
In England 15% of adults smoke. In France what percentage of adults smoke?;27%
What did Singapore ban in 1992:A)the Chinese flag, B) The Simpsons TV program, C)mint choc chip flavored ice cream, or D)chewing gum?;D) Chewing gum was outlawed in order to make the streets cleaner.
