question;answer
Which of these happened first: A) Macaulay Culkin was born, B) OJ Simpson was found not guilty of murder, C) Peter Andre first released 'Mysterious Girl',or D) the first mobile phone call was made in the UK?;A) Macaulay Culkin was born in 1980. OJ Simpson was found not guilty in 1995, Peter Andre released 'Mysterious Girl' in 1995, and,the first mobile phone call in the UK was made in 1985.
In the 1990s, which group/artist spent the longest total time in the top 10 of the UK Singles Chart?;Oasis, ahead of Madonna and Mariah Carey in second and third.
Which country consumes the most fish?;Japan-largely a result of the huge amounts of fish used in sushi and its population of almost 130 million people.
How much poo does an adult African elephant do per day, in kilograms?;140kg, equivalent to the weight of almost two average men.
What percentage of Brits say that they would like to be in Gryffindor if they attended Hogwarts?;57%. 8% of people say that they would like to be in Slytherin.
In 1928,the UK, USA, Germany, France and 58 other countries signed a treaty designed to do what: A) ban nuclear weapons, B) outlaw war, C) define the Soviet Union as an 'enemy state', or D) regulate central banks to make recession impossible'?;B) The treaty outlawed war. WWIl started 11 years later, so it wasn’t a huge success.
What percentage of men wash their hands after going to the toilet?;37%, compared to 61% of women.
Which illness do British doctors treat most commonly?;Depression. Each year 10% of women and 4% of men suffer from clinical depression.
What is the largest reptile in the world?;The Saltwater Crocodile
On average, how many guests are invited to a wedding in the USA?;178
The Vatican City is the smallest country in the world by size. How many English Premier League football pitches would fill the entire country?;63 average sized Premier League pitches would cover the entire country. At 0.44 square km, the Vatican City actually has more than two Popes per square kilometre.
What percentage of American men who are taller than seven feet go on to play in the NBA?;14%
How many casinos are there in the Las Vegas Strip Area?;There are only 40 casinos in the Las Vegas Strip Area, according to the Nevada Gaming Commission.
On average, are people who wear glasses more academic, or is this a myth?;This is true. A recent German study found that people who wear glasses are twice as likely to go to college as non-glasses wearers.
If it is 7am in the most western part of Russia, what time is it in Russia's most eastern point?;17:00:00
True or false, per kilogram, humans emit more heat than the sun?;True, due to our much smaller surface area.
According to a poll by YouGov, what percentage of Brits believe that intelligent aliens have visited Earth, and that it has been covered up by the Government?;17%
On average, at what age does a child reach half their adult height?;Two years old. The average child is three feet and one inch tall by the time of their third birthday, so reaches half their adult height whilst still being two years old.
Of the 193 countries which are UN member states, how many has the British Army invaded, fought conflicts in, or controlled?;171, almost 90% of the countries in the world.
On average, how many days per year does it rain in Manchester, UK?;140
In total how many sailors are there in the Mongolian Navy?;Seven-Mongolia is a landlocked country so their Navy has one small token boat.
For how many years was The Great Pyramid of Giza the tallest man made structure in the world?;3871 years, from construction in 2560 BC, to the building of Lincoln Cathedral in 1311 AD.
What is the most commonly eaten meat in the world?;Pork-43% of total meat consumed is pork, followed by 27% poultry and 26% beef.
What percentage of internet users use Instagram?;22%
In 2019,what was the average price of a pint of beer in an English pub?;£3.67
What happened in Samoa on the 30th of December 2011:A) it left the British Empire, B) Western Samoa and American Samoa unified to make one country, C) nothing, or D) the King declared his cat next in line to the throne?;C)	Nothing. In 2011 Samoa moved across the International Date Line to become one hour ahead of New Zealand instead of 23 hours behind. As part of the move, the 30th of December 2011 was skipped.
True or false, crucifixion is still used as a method of capital punishment in Saudi Arabia?;True, alongside the more commonly used methods of hanging and beheading.
In total, how many tapes, records, and CDs have the Beatles sold across the world?;600 million
66% of London Underground users say that a wait of how many minutes is too long?;Five minutes
What is the bestselling fiction book series of all time?;The Harry Potter series, with over 500 million copies sold in total.
Alan Shearer holds the record for the most Premier League goals, How many Premier League goals did he score in total?;260
In 2018,how long did the average British adult spend on their smartphone each day?;2 hours and 28 minutes
What is the least densely populated country in the world?;Mongolia, which has only 4.9 people per square mile. Greenland has a population of only 0.08 people per square mile but is a dependent territory of Denmark and not a country in its own right.
How much do you have to earn to be in the top 5% of UK earners?;£70,000.00
In which year was the first known use of a wheel?;The first known use of the wheel was in Mesopotamia in 3,500 BC.
The Rhubarb Triangle is a 9 sq. mile triangle between Leeds, Bradford and Wakefield. At its peak, what percentage of the. world's winter rhubarb did the Rhubarb Triangle produce?;90%
In 2010 two pizzas were bought for 10,000 Bitcoins, in one of the first ever real-world Bitcoin transactions. How much would 10,000 Bitcoins have sold for on the 1st January 2018 (in US Dollars)?;＄134 million
Why does your skin wrinkle when it gets wet?;To improve your grip
In the James Bond novels, on average how many pages of the books does he go in between alcoholic drinks?;Seven pages
What colour cars are most likely to be involved in crashes?;Red
Bats use echo-location to determine where objects are, due to their poor eyesight. In metres, how far away can they locate objects using this method?;Up to 67 metres
What is the most dangerous animal that has ever lived, measured by the number of human deaths caused?;The Mosquito. Mosquitoes are estimated to have been responsible for up to half of all human deaths, due to the various diseases they can transmit to humans, such as malaria and yellow fever.
In total how many Americans have used heroin at least once in their life?;3.8 million
How many individual pieces of wood are used to make a violin?;70
An albatross holds the record for the largest wingspan of any bird ever recorded, what was its wingspan in feet?;11 feet and 11 inches, more than double the height of an average man.
What colour are veins?;Veins, which carry deoxygenated blood back to the heart, are red. They sometimes appears blue when viewed through fair skin (because skin allows blue light to penetrate it better than other colours).
What item is most commonly shoplifted from supermarkets?;Alcohol is the most shoplifted product, according to a study by The Centre for Retail Research.
In which year did the construction of Stonehenge begin?;3100 BC
How much does the average adult Hippo weigh in kilograms?;The average adult Hippo is 1500kg, about as much as 20 men.
How many people in the US watched the series finale of Friends?;52.5 million
Robert Miles wrote the 1996 no.1 dance anthem ‘Children’ in an attempt to reduce: A) child abuse, B) car crashes, C) school homework, or D) bad manners?;B) Car crashes. In Italy there was a belief that people got so pumped up partying on Friday night that they would drive recklessly on Saturday causing car crashes. He wrote a relaxed song to be played at the end of the night to calm everyone down.
What is the average daily temperature difference between Newcastle and London (in degrees Celsius)?;3.2 degrees
In April 1945,how much cheese was each adult in the UK entitled to per week under rationing (in grams)?;57g,although vegetarians could get an additional 85g in replacement for their meat rations.
What is the total length of all the canals in Venice?;26 miles - less than the 35 miles of canals in Birmingham, England.
Which country is the largest producer of wine?;France
True or false, if you add up all of the time people have spent watching Psy's Gangnam Style on YouTube, it is longer than the entire history of human civilization?;True,with over 3 billion views, more than 25,000 years have been spent watching it.
 By definition only 50% of drivers can be an above average driver. But, what percentage of US drivers believe they are an above average driver?;93%
In which year did Tesco first introduce the automated checkout?;2003
What is the most produced food in the world?;Maize (Corn),ahead of rice and wheat in second and third. Maize is widely used in bread and pasta in the Americas,as animal feed,in ethanol production, and corn syrup is used as a sweetener in fizzy drinks.
In 1974,94% of milk was delivered to the doorstep, What percentage of milk is currently delivered?;4%
True or false, before 1871,British soldiers could buy promotions?; True. This practice was abolished following a series of strategic blunders including The Charge of the Light Brigade in the Crimean War.
What is the fastest ever 100m time recorded by someone aged over 100 years old?;26.99 seconds set by Donald Pellmann.He also holds masters athletics world records in the long jump, high jump, discus, shot put and javelin.
How many liters of vodka does the average Russian drink per year?;14 litres
In which year was the last person in Britain convicted of witchcraft?;1944.A Scottish medium claimed to have predicted the sinking of a Royal Navy ship during WWII, and performed a séance with a drowned sailor, so was arrested for witchcraft.
Prior to 2018,when was the last time that England progressed further than Germany in the FIFA World Cup?;1966
In total over their career, which artist or band has spent the most time at the top of the UK Singles Chart?;Elvis Presley holds the record with 80 weeks at the top of the charts,ahead of the Beatles in second place who have topped the charts for 69 weeks.
At birth the average baby weighs 7.5 pounds. How much does an average baby weigh one week after birth?;6.9 pounds. In the first week babies generally lose 5-10% of their weight as a result of fluid losses.
The tin can was invented in 1772 AD. When was the tin opener invented?;1855 AD
Why do pigs roll in mud?;To regulate body temperature,and provide protection from the sun
In which year was the gun first invented?;1000 AD
German steel and telecoms company Mannesmann,was purchased in 1999 by Vodafone, in the largest ever corporate acquisition, In US Dollars, how much did they pay for the business?;＄202 billion
In US Dollars, how much does the US military spend on Viagra each year?;＄84m. This figure is so high because the US military pays for health coverage for retired veterans,which can include Viagra.
In 1800 AD what was the only city with a population of over one million?;London
What percentage of Americans do not own a passport?;57%. The often quoted figure of 90% is very out of date.
In 1896 Walter Arnold became the first motorist to be convicted of speeding. What speed was he caught traveling at (in miles per hour)?;8 miles per hour, four times the then speed limit of 2 miles per hour.
Which country had the largest economy in 1700 AD?;India. Before the Industrial Revolution the main driver of a country's economy was manpower,meaning India and China had the first and second largest economies in 1700 due to their large populations.
What percentage of football injuries occur during goal celebrations?;5%
How long is the Amazon River in miles?;4,345 miles. Its basin (the area drained by the river and its tributaries) is 29 times larger than the UK.
As of the 1st of January 2019,in total how many nuclear bombs have been detonated globally(including tests)?;2,123,the majority of which were dropped as tests by USA (1,032) and Russia/USSR （727).
In total, how many people were killed in the Cambodian Genocide of 1975-1979?;2.2 million people were killed by Pol Pot's regime, almost a quarter of the entire population.
Of the 15 Rugby League World Cups held, how many have been won by Australia?;11,with Great Britain winning 3 and New Zealand winning 1.
How many websites are available to the public in North Korea?;28
On average how many baked beans are in a standard sized tin of Heinz beans?;465
How many giant pandas are there living in the wild?;There are approximately 1,850
How many miles does an average London black cab drive per day?;120 miles
In the UK, for every one jar of marmalade consumed by an average person aged under 28,how many jars of marmalade does a person aged over 65 consume?;60 jars
Using a non-power shower, on average how long do you need to shower so that it uses more water than a bath?;10 minutes and 20 seconds
By the age of 70,what percentage of US adults have lost all of their teeth?;26%
What is the main source of energy in Iceland?;Geothermal energy accounts for 65% of all energy generation, made possible due to Iceland's location in an area with a large number of volcanoes.
Which country is the largest importer of tea?; Russia, ahead of USA and UK in second and third.
What was remarkable about Herman Cain's speech in the 2011 Republican Presidential Candidacy Debate: A) he ended it with a mic drop, B) he didn't speak a single word, C)he forgot his own name, or D) he quoted The Pokémon Movie theme tune?;D) He quoted the Pokémon Movie theme tune. He initially attributed the phrase to ＇a famous poet', but later backtracked and admitted it was from The Pokémon Movie.
How long does the average person have to run at 10 km/h to burn off one chocolate digestive biscuit?;6 minutes and 20 seconds
For how long has the longest continuous fire been burning?;The underground Australian coal seam called 'Burning Mountain' holds the record, and has been burning for over 6,000 years.
How many holes in one has Tiger Woods achieved in his career?;18
Which country is the largest producer of heroin?;Afghanistan, which is responsible for approximately 90% of total global heroin production.
True or false, the mayor of San Pedro Huamelula, a town in Mexico, married a crocodile in order to bring his town good luck?; True, he marries a crocodile every year.
In what percentage of married couples is the wife taller than the husband?;4%
If you could stand in the centre of the Earth's core, what would be the impact of Earth's gravity?;The Earth's gravity would pull you in all directions at the same strength, which would cancel out and you would feel weightless.
In which country are the population least proud of their country?;Japan
In England 15% of adults smoke. In France what percentage of adults smoke?;27%
What did Singapore ban in 1992: A) The Chinese flag, B) The Simpsons TV program, C) mint choc chip flavoured ice cream, or D) chewing gum?;D) Chewing gum was outlawed in order to make the streets cleaner.
Could a coin dropped from the top of the Empire State Building kill someone?;No,a coin's terminal velocity(the maximum speed reached,when air resistance equals the force of gravity)is approximately 70 mph-much slower than a baseball pitch
What percentage of births result in twins?;About 3%
Which country is the world's largest importer of human hair?;USA
By March 2020, how many Wetherspoons pubs and hotels were there in the UK?;930
Rudolf Diesel invented the compression ignition engine in 1892.What fuel did he use to power his engine: A) diesel, B)unleaded petrol, C)peanut oil, or D) woodchip?;C) Peanut oil
Which of these countries has a lower life expectancy: A)Syria, B) South Africa, C) Ethiopia, or D)Austria?;B) South Africa, where life expectancy at birth is 63 for men.
What is the most common answer when women are asked which part of their body they dislike the most?;Stomach. Followed by hips and thighs in second and third place.
Which company spends the largest amount of money on advertising?;Proctor & Gamble, also know as P&G owns consumer brands such as Head & Shoulders, Oral B, Gilette and Arial. It spends over $4 million a year on advertising
What is the second most widely consumed drink in the world, after water?;Tea. Followed by beer in third place.
Which of these happened most recently: A) the original PlayStation was released, B) Pulp Fiction was released, C) Justin Bieber was born, or D) The Nokia 3210 was released?;D) The Nokia 3210 was released in 1999. Just Bieber´s birth, and The PlayStation and Pulp Fiction releases all occurred in 1994.
When asked which foods should be part of an ideal 'Full English' breakfast, which food is most commonly chosen?;Bacon-chosen by 89% of people, closely followed by sausage in second place (82%).
How many points were scored from drop goals in the 2019 Rugby Union Six Nations Championship?;Six
What household chore do the most people say they dislike doing?;Ironing
Per person, which country has the highest consumption of beef?;Argentina. The average Argentinian adult consumes 55kg per year (equivalent to 160 12oz steaks).
True or false, the colour orange is named after the fruit?;True. Before the 16th century the colour orange was referred to as yellow-red.
How long was the longest prison sentence ever handed out?;In Thailand,a 141,078 year prison sentence was given to Mrs Chamoy Thipyaso who defrauded 16,000 people out of a total of 204 million US Dollars. She was released from prison after serving eight years.
By the start of the 2019-20 season, in total how many goals have Manchester United Scored in all competitive league games in their entire history?;8091
Which country has the highest proportion of atheists?;China-largely due to the fact that religion was oppressed under Chairman Mao.
On the 1st of March 2020, of the oldest 50 people in the world, how many were women?;All 50
When you lose weight where does the weight actually go?;The majority of fat 'burned' is converted into carbon dioxide and breathed out of your body. Carbon dioxide is heavier than the air you breathe in.
What is the furthest that a person has fallen, without a parachute or safety equipment, and survived?;10km (6 miles). In 1972 a flight exploded over the Czech Republic, and a flight attendant fell 10km. She suffered two broken legs, a fractured skull and was paralysed from the waist down, but ultimately survived the fall.
How many homes in Britain were destroyed in the Blitz?;Two million
Do astronauts become taller or shorter because of their time in space?;Taller. Under zero gravity their vertebrae stretch increasing their height.
What percentage of men think that they should kneel down when proposing?;76%
How many spiders do you swallow in your sleep, on average per year?;Zero. There is a myth that you swallow eight spiders a year, but this was made up by Lisa Holst, a journalist who was attempting to highlight how quickly myths can propagate.
How long did Britney Spears' shortest marriage last?;55 hours
The amount spent globally on eradicating poverty is estimated to be $66billion per year. How much is spent on the military?; Approximately $1,800 billion ($1.8 trillion)
How long did the Hundred Years War last?; The Hundred Years War,fought between England and France,started in 1337 and lasted for 116 years.
What percentage of children say that their parents do not embarrass them at all?;12%
In China, who are the 'little emperors'?;Little emperors are the children born since China introduced its one child policy. They are the so-called 'spoilt generation' who have become less trusting,and more selfish as a result of them all having no siblings.
Which country has the largest amount of tigers?;USA. Due to hunting and habitat loss, there are more tigers held in captivity in the USA than live wild in the entire world.
How do the organizers of Wimbledon minimize the impact of pigeons disrupting play, or bothering spectators?;They have a hawk which patrols for up to an hour before play starts.
What percentage of DNA do humans share with a banana?;50%
At its peak, in 1922,what was the population of the British Empire?;Around 520 million people-one quarter of the world's population at the time.
The record for the fastest average speed Over a Tour De France was set in 2005 by Lance Armstrong, What was his average speed in miles per hour?;26 miles per hour. The slowest ever overall speed by a Tour De France winner was 15 mph in 1919.
How many standard sized (2.5 liter) tins of white paint does it take to paint the exterior of the White House?;546
Out of every 100 babies born in Europe, how many are conceived in an lkea bed?;10
What is the minimum number of countries you would need to pass through if you wanted to travel from North Korea to Norway?;1 – Russia borders both countries.
In which year was the last person executed by guillotine in France?;1977
By what percentage does shoplifting in grocery stores increase/decrease when self-service checkouts are introduced?;On average it increases by 122% (but this cost is more than outweighed by the savings in staff costs).
What is the total length of all blood vessels in an average human body(in metric units, i.e. centimetres/meters/kilometres)?;100,000 km,enough to go around the circumference of the world twice.
What is the most popular type of takeaway in England?;Chinese,followed by Indian and pizza in second and third place.
Which company produces the most tyres per year?A) Pirelli, B) Michelin, C) Lego, or D) Raleigh?;C) Lego. Half of all Lego sets contain something with wheels,so they produce almost a million car tyres every day.
If there are 23 people in a room, what is the probability that any two of them share a birthday?;50%
On average, which country has the tallest men?;The Netherlands, where the average man is six feet and half an inch (1.84m) tall. Nearly all of the top ten countries are in Northern and Central Europe,due to healthy diets, and low levels of inequality and disease.
How many teaspoons of sugar are in one 2L bottle of Coca Cola?;53
How much(in US Dollars) did the Donald Trump election campaign spend on 'Make America Great Again' caps?;＄3.2m
Which country has the most cosmetic operations per year?;USA,with four million per year, accounts for about 15% of the global total.
In which year were bananas first sold in the UK?;1633
How many people living in the US can trace at least one ancestor to the Ellis Island immigration port next to the Statue of Liberty?;About 115 million
The Sea Org is the ruling organization of Scientology. For how long do new recruits have to commit to the organization when they join?;They make all new joiners sign a one billion year contract.
When did humans discover that the world was round?;Eratosthenes proved that the Earth was round in 240BC.
What percentage of 'War and Peace' audio book listeners give up before getting to the end of the book?;80%
Which country has the most patents per person?;South Korea
What percentage of people say that if they found out their friend was being cheated on, they would tell them?;53%
On average how many potatoes go into each 34.5g (standard sized) bag of Walkers crisps?;One potato
Which city is the largest in the world, as measured by the population of its urban area?;Tokyo,which has a population of 38 million.
How many different galaxies can be seen with the naked eye?;Four. There are tens of billions of galaxies, but due to the large distances they are away from Earth there are only four visible with the naked eye. Most visible stars are from the Milky Way (our galaxy).
What weight in pounds is the shot used in men's shot put competitions?;16 pounds
The longest fence in the world, found in Australia, is 3,488 miles long (60% longer than the Great Wall of China),Why was it built?;Known as the Dingo Fence, it was built to keep dingoes and wild dogs out of South East Australia to protect sheep flocks.
What percentage of British people report having paid a bribe in the last 12 months?;5%
In a 2017 poll, who did Russians vote 'the most outstanding person in world history'?;Joseph Stalin,who was closely followed by Vladimir Putin in second place.
How many acid attacks occurred in 2017 in London?;465
In stones and pounds, how much did the heaviest person in history weigh?;Jon Minnoch (USA) peaked at 100 stones and 0 pounds.
According to Forbes magazine, which of these fictional characters is the richest: A) Bruce Wayne (Batman),B) Mr Burns (from The Simpsons), or C) Smaug (from The Hobbit)?;C) Smaug was worth $62 billion (due to his mountains of gold), much more than Bruce Wayne($6.9 billion)or Mr Burns($1.2 billion).
What percentage of the human population has a lactose intolerance?;"65%. Only 5% of Northern Europeans are lactose intolerant, however in other regions the prevalence is much higher; for example,around 90% of Chinese people are lactose intolerant."
How many airports are there in the world?;44000
How many weddings are performed per day in Las Vegas?;Currently around 220 weddings take place per day in Las Vegas (down from 315 per day in 2004).
What percentage of people say that they would eat food that has fallen on the floor at home?;58%
The best selling beer in the world is Snow, primarily sold in China, which accounts for 5.4% of global beer sales. What is the second best selling beer brand in the world?;Budweiser. In total the Budweiser brand accounts for 4.8% of global beer sales, and is followed by Tsingtao and Skol in third and fourth.
Which country has the highest proportion of vegetarians?;India. Per person there are more than twice as many vegetarians in India as any other country.
What was the most valuable sports team in the world, in 2019?;Dallas Cowboys. The rest of the top five is made up of:New York Yankees, Real Madrid,Barcelona,and New York Knicks.
What percentage of people would be willing to tell a close friend that they think they are a bad parent?;21%
Why does Earl's Court tube station have an apostrophe, but Barons Court has no apostrophe?;"Earl's Court is a region of London once owned by the Earl of Oxford, hence it has a possessive apostrophe. Barons Court is a made up name; no Baron ever owned the land."
"True or false, the song ""The Macarena"" was written by an Englishman who does not speak a word of Spanish, so the entire song consists of Spanish sounding made up words?";False -it is an actual Spanish song.
If you divided all the Lego bricks on the planet equally between every person alive, how many would they each have?;86
For every £1 raised in charity sky dives, how much does it cost the NHS to treat the people who injure themselves?;£13.75
What percentage of people earning over £50,000 per year consider themselves to be rich?;10%
Which country has the highest total number of murders per year?;Brazil which has more than 50,000 murders per year.
Why is the 'east end' of most large cities （such as London, Helsinki, Paris, and New York),generally an area of lower house prices and higher deprivation levels?;Pollution from city centre factories was blown east by prevailing winds (which in the Northern Hemisphere blow west to east), making this the less desirable part of town. Air quality has improved but the view of the 'east end' still prevails.
According to the Cool Brands survey, what do British consumers consider to be the coolest brand in the world?;Apple,which has topped the poll seven years in a row.
Which colour appears on the most national flags?;Red,which is on 77% of national flags.
How many different political parties stood for at least one seat in the 2015 UK general election?;132
What was the global population in the year 1AD?;The UN estimates that the population in 1AD was approximately 300 million.
True or false, shuttlecocks are never made from a combination of feathers from the left and right wings of a bird?;True. If both left and right wing feathers are used, the trajectory of the shuttlecock would be affected.
What percentage of a Greggs sausage roll is pork?;18%
How many times in total have golf's majors been won by an American (as at 1st January 2020)?;There are four majors, the first of which, the British Open, was established in 1860. Since then,Americans have won 273,more than every other country combined.
What is the longest border between two countries?;The USA-Canada border,which is 5,525 miles long.
By September 2019,how many people in the world used Facebook every day?;1.6 billion people
What percentage of British people who are in relationships, think that their partner is more attractive than they are?;56%. 35% think they are equal, and 9% think they are more attractive than their partner.
In the 592 episodes of the UK edition of Who Wants to be a Millionaire hosted by Chris Tarrant, how many people have won the million pound prize?;Five
Why does your voice sound different in your head to when you hear a recording?;When you hear your own voice, the sound waves travel to your ear through your body. Your body is denser than air, so the waves travel at a different frequency.
On average, how many murders are there in the USA per day?;34
60% of millennials think that they are loyal if they have worked at the same employer for at least how long?;Seven months
The current Mozambique flag contains a picture of what: A) a spear, B) a chicken drumstick, C) a dog jumping over a river, or D) an AK47?;D) an AK47
In 2018, how many privately owned guns were there in the USA, per person?;1.20 - the highest gun ownership rate in the world.
In total how many liters of prosecco did Brits drink in 2019?;88 million litres, about a third of the prosecco drunk globally.
What percentage of UK households have a pet?;40%
True or false, in Canada the most popular item on the McDonald's menu is the ‘mcpancakes and maple syrup'?;FALSE
What is the record for the most aces by a single player in a match at Wimbledon?;113 achieved by John Isner in his 201 match against Nicolas Mahut. The match ended 6-4, 3-6, 6-7, 7-6, 70-68, and holds the record for the longest ever Wimbledon match.
By August 2019, of the fastest 30 100m times ever run, how many were achieved by sprinters who have failed a drugs test at some point in their career?;21.The other 9 were all run by Usain Bolt. 
What percentage of animal species are invertebrates (i.e. have no backbone)?;97%-for example there are more than a million species of insects,but only 5,500 species of mammals.
Which fast food company has the most outlets in the world?;Subway which has 45,000 restaurants in total,ahead of McDonalds,Starbucks and KFC in second, third and fourth.
How many tourists visited France in 2018?;90 million tourists visited France, making it the most visited country in the world.
Why are automated voices (e.g.self-service checkouts, automated phone systems, Sat Navs,etc.) usually women's voices?; Studies suggest that people generally find female voices more pleasing, and that both men and women rate female voices as being more trustworthy.
The shortest ever war was fought between the UK and Zanzibar in 1896. How long did it last?;Zanzibar surrendered after 36 minutes.
How many muscles are there in your fingers?;Zero. The muscles which move and bend your fingers are all contained in your hand, and connected to the bones in your fingers via long tendons.
The heaviest recorded bird was an ostrich, how much did it weigh in stones?;Standing at nine feet tall,it weighed 24 stones and 9 pounds.
How many calories are there in a Big Mac?;508 calories
What happened to Dutch Prime Minister, Johan De Witt, in 1672:A)He was killed and eaten by protesters, B) he gave the vote to ＇dogs with above average intelligence', C) he became the first world leader to be a transvestite, D) he married his own sister?;A) The Prime Minister, and his brother were killed and eaten by protesters.
Usain Bolt's 100m world record is 9.58 seconds. How quickly can a cheetah run 100m?;5.95 seconds - 40% faster than Usain Bolt
In Euros, how much did French President Emmanuel Macron spend on makeup in his first 3 months in office?;€26,000
What is the FBI's definition of a serial killer?;Someone who unlawfully kills at least two victims, in separate events.
What is the Church of England's annual income?;Approximately £1.5 billion
What percentage of interviewers say they would be less likely to offer someone a job if they had a face tattoo?;78.00%
On average, how many years longer or shorter is the life expectancy of a pop or rock star, compared with the average person?;On average, pop and rock stars die 25 years younger than the average person.
For how long did the Ground Zero fire burn after the September 11th attacks on the World Trade Center?;100 days
How many babies are born in the world every minute?;245 babies are born each minute, which equates to almost 130 million a year.
What percentage of adults in the world are illiterate?;14%
After adjusting for inflation, what is the highest grossing film of all time: A) Gone with the Wind, B)The Titanic, C)Avatar, or D)Star Wars Episode IV?;A) Gone with the Wind, released in 1939 earned $3.4 billion in today's money.
In the US,15% of men are taller than six feet. What percentage of US CEOs are taller than six feet?;58%. This is primarily because people unconsciously associate attributes  such as strength and leadership abilities with height.
How many American presidents have been assassinated while in office?;Four-Abraham Lincoln, James Garfield, William Mckinley and John F Kennedy.
How much do the ashes of an average dead man weigh (in imperial units i.e. stones/ pounds/ounces)?;An average man's ashes weigh six pounds..
What is the median annual salary in the UK （i.e. the salary of the typical person)?;£22,400
If an unbiased roulette wheel comes up red three times in a row, is it more likely to come up red or black on the next spin of the wheel?;Assuming the wheel isn't biased or broken, each spin is independent, therefore past results are no indicator of future results. Red and black thus have equal odds of coming up.
Which city has the most expensive housing market in the world?;Hong Kong. Prices have got so high that thousands of people have resorted to living in 'coffin cubicles' which are 6ft by 2.5ft in area, and have ceilings so low that the tenants cannot stand up.
Adjusted for inflation, what is Disney's highest grossing film?;Snow White and the Seven Dwarfs
Per person, which country has the highest consumption of olive oil?;Greece
For what reason do armies break march before crossing a bridge?;If the army are marching at a rate which is very close to the rate at which the bridge naturally vibrates, then the marching can resonate causing the bridge to collapse.
What percent of women who get engaged dislike their ring so much that they take it back to the store to get a different one?;3%
What is the world's most popular language, by number of native speakers?;Mandarin. There are more native Mandarin speakers in the world than Spanish and English (second and third most popular) combined.
Prior to 1664 New York was named after a capital city. What was it called?;It was a Dutch settlement called New Amsterdam, until it was captured by the British in 1664.
How many named characters were killed off in total in the TV show 'Game of Thrones'?;260. Of the 73 episodes only four did not feature the death of a named character.
According to surveys, what is generally considered to be the least attractive accent in the UK?;The Birmingham accent generally tops polls which ask for the most unattractive UK accent.
What was unusual about the Spanish 2000 Paralympics gold medal winning basketball team: A) they won by default when their opponents didn't turn up, B) 10 of the players were pretending to be disabled, C) the team had a chorizo chef, or D)their average age was 54?;B) the team included 10 players who were later found out to have been pretending to be disabled.
